author_country,Latitudes,Longitudes,placeID
United States,39.3812661,-97.922211,united_states
Spain,41.2948556,-4.055685,spain
United States,39.3812661,-97.922211,united states
Trinidad & Tobago,10.687866,-61.615387,trinidad_&_tobago
Jamaica,18.1512945,-77.319222,jamaica
Haiti,19.1824357,-72.434515,haiti
Peru,-10.151093,-75.311132,peru
Venezuela,7.61957015,-65.801997,venezuela
Martinique,14.6525485,-61.021287,martinique
Dominican Republic,18.6062577,-70.106722,dominican_republic
Trinidad & Tobago,10.687866,-61.615387,trinidad_& tobago
Dominica,18.6062577,-70.106722,dominica
England,52.3814597,-0.6761818,england
Barbados,13.1787147,-59.561955,barbados
NA,,,na
Wales,52.3287887,-3.608242,wales
Cuba,21.9468717,-79.236672,cuba
Guatemala,15.6055893,-90.390002,guatemala
St. Lucia,27.911547,-15.54052,st._lucia
Indiana,39.9184076,-86.284608,indiana
Germany,51.1334813,10.0183433,germany
France,47.8249046,2.61878695,france
The Bahamas,25.07471,-77.3408,the_bahamas
Italy,42.5041539,12.646361,italy
Guyana,5.62382279,-58.974781,guyana
Australia,-25.734968,134.489563,australia
St. Kitts & Nevis,-23.486346,-46.609982,st._kitts_&_nevis
Canada,55.5859013,-105.7506,canada
Ghana,6.88085427,-1.1675944,ghana
Chile,-26.783346,-69.761008,chile
Britain,54.2379334,-2.3696696,britain
Trinidad and Tobago,10.468643,-61.253176,trinidad_and_tobago
Trinidad and Tobago,10.468643,-61.253176,trinidad_and tobago
Aruba,12.5156287,-69.975641,aruba
French Guiana,4.35792079,-53.174392,french_guiana
Guadeloupe,15.9945401,-61.72715,guadeloupe
Argentina,-36.252002,-63.954193,argentina
El Salvador,13.7368969,-88.866511,el_salvador
Nigeria,9.59395989,8.10530641,nigeria
Bonaire,12.18333,-68.23333,bonaire
Belize,17.2168536,-88.686007,belize
Cameroon,4.80651221,12.2137542,cameroon
Portuguese,2.184526,102.266099,portuguese
Trinidad &Tobago,10.687866,-61.615387,trinidad_&tobago
Brazil,-9.588903,-51.619789,brazil
Cleveland,41.505161,-81.693445,cleveland
New York,40.7306,-73.9866,new_york
Galt,38.254637,-121.29995,galt
Colombia,3.065088,-73.129056,colombia
Austrailia,37.7349,-122.50231,austrailia
America,39.3812661,-97.922211,america
Puerto Rico,18.2213294,-66.462339,puerto_rico
Mauritis,-20.163857,57.5025125,mauritis
Greece,38.5890213,23.8285537,greece
Mexico,23.9504642,-102.53287,mexico
Antigua,17.1179342,-61.843877,antigua
Antigua & Barbuda,36.7256776,-4.2405603,antigua_&_barbuda
Bermuda,32.3179203,-64.73701,bermuda
Utah,39.2548172,-111.6025,utah
Ireland,53.3054944,-7.7376489,ireland
Grenada,12.1129258,-61.679377,grenada
St.Lucia,50.9606792,7.2378742,st.lucia
India,22.1991661,78.476681,india
St Kitts & Nevis,-23.486346,-46.609982,st_kitts_&_nevis
Suriname,3.69296651,-55.911826,suriname
Serbia,44.2267366,20.7952998,serbia
Bahamas,25.07471,-77.3408,bahamas
Mauritius,-20.163857,57.5025125,mauritius
Demerara,6.75,-57.98333,demerara
South America,37.861066,-122.26327,south_america
Country of Northampton,40.685005,-75.4571,country_of_northampton
Scotland,56.7342823,-4.0958921,scotland
St Martin,30.125201,-91.83345,st_martin
Gabon,-0.5909452,11.7972367,gabon
Jerusalem,31.7733151,35.1867903,jerusalem
Angola,-12.099395,17.9122921,angola
Finland,62.777754,26.199539,finland
St. Vincent,48.8795,2.35751,st._vincent
Guinea,10.785546,-11.029862,guinea
Russia,61.9945734,96.6697055,russia
New Zealand,-41.838875,171.7799,new_zealand
Ukraine,49.3227938,31.320283,ukraine
Columbia,3.065088,-73.129056,columbia
Honduras,14.7616644,-86.921641,honduras
British Guiana,41.459957,2.224583,british_guiana
British Virgin Islands,18.4269284,-64.623172,british_virgin_islands
Virgin Islands,17.7355382,-64.762586,virgin_islands
Paris,48.85658,2.35183,paris
Lebanon,33.9202654,35.8880261,lebanon
