city,country,pub_location,PlaceID,Latitudes,Longitudes
Kingston,Jamaica,"Kingston, Jamaica",kingston_jamaica,18.017589,-76.80273
Barcelona,Spain,"Barcelona, Spain",barcelona_spain,41.382894,2.177432
London,England,"London, England",london_england,51.515618,-0.091998
Chichester,West Sussex,"Chichester, West Sussex, England",chichester_west_sussex_england,50.836486,-0.779172
Richmond,London,"Richmond, Londonland",richmond_londonland,37.538509,-77.43428
Oxford,England,"Oxford, England",oxford_england,51.773175,-1.264027
Valencia,Spain,"Valencia, Spain",valencia_spain,39.469707,-0.376335
Paris,France,"Paris, France",paris_france,48.85658,2.35183
Moncton,Canada,"Moncton, Canada",moncton_canada,46.097995,-64.80011
"Amherst, MA",United States,"Amherst, MA, United States",amherst_ma_united_states,42.368566,-72.505714
"Washington, DC",United States,"Washington, DC, United States",washington_dc_united_states,38.895037,-77.036543
Buenos Aires,Argentina,"Buenos Aires, Argentina",buenos_aires_argentina,-34.59972,-58.38194
Scarborough,Canada,"Scarborough, Canada",scarborough_canada,43.7729,-79.2576
Santo Domingo,Dominican Republic,"Santo Domingo, Dominican Republic",santo_domingo_dominican_republic,18.49333,-69.86667
Brighton,England,"Brighton, England",brighton_england,50.8220576,-0.140343
"Brooklyn, NY",United States,"Brooklyn, NY, United States",brooklyn_ny_united_states,40.652601,-73.949721
Washington,United States,"Washington, United States",washington_united_states,48.0250054,-120.09429
Praha,Czech Republic,"Praha, Czech Republic",praha_czech_republic,50.087465,14.421253
Trafalgar,Dominica,"Trafalgar, Dominica",trafalgar_dominica,15.323694,-61.346793
Port-au-Prince,Haiti,"Port-au-Prince, Haiti",port_au_prince_haiti,18.5473,-72.3396
Pompano Beach,United States,"Pompano Beach, United States",pompano_beach_united_states,26.23786,-80.124767
Chapel Hill,United States,"Chapel Hill, United States",chapel_hill_united_states,35.913154,-79.05578
Toronto,Canada,"Toronto, Canada",toronto_canada,43.653482,-79.383935
Wyoming,United States,"Wyoming, United States",wyoming_united_states,43.5444589,-107.53986
Madrid,Spain,"Madrid, Spain",madrid_spain,40.416705,-3.703583
"New Brunswick, NJ",United States,"New Brunswick, NJ, United States",new_brunswick_nj_united_states,40.486217,-74.451817
