city,country,pub_location,PlaceID
Kingston,Jamaica,"Kingston, Jamaica",kingston_jamaica
Barcelona,Spain,"Barcelona, Spain",barcelona_spain
London,England,"London, England",london_england
Chichester,West Sussex,"Chichester, West Sussex, England",chichester_west_sussex_england
Richmond,London,"Richmond, Londonland",richmond_londonland
Oxford,England,"Oxford, England",oxford_england
Valencia,Spain,"Valencia, Spain",valencia_spain
Paris,France,"Paris, France",paris_france
Moncton,Canada,"Moncton, Canada",moncton_canada
"Amherst, MA",United States,"Amherst, MA, United States",amherst_ma_united_states
"Washington, DC",United States,"Washington, DC, United States",washington_dc_united_states
Buenos Aires,Argentina,"Buenos Aires, Argentina",buenos_aires_argentina
Scarborough,Canada,"Scarborough, Canada",scarborough_canada
Santo Domingo,Dominican Republic,"Santo Domingo, Dominican Republic",santo_domingo_dominican_republic
Brighton,England,"Brighton, England",brighton_england
"Brooklyn, NY",United States,"Brooklyn, NY, United States",brooklyn_ny_united_states
Washington,United States,"Washington, United States",washington_united_states
Praha,Czech Republic,"Praha, Czech Republic",praha_czech_republic
Trafalgar,Dominica,"Trafalgar, Dominica",trafalgar_dominica
Port-au-Prince,Haiti,"Port-au-Prince, Haiti",port_au_prince_haiti
Pompano Beach,United States,"Pompano Beach, United States",pompano_beach_united_states
Chapel Hill,United States,"Chapel Hill, United States",chapel_hill_united_states
Toronto,Canada,"Toronto, Canada",toronto_canada
Wyoming,United States,"Wyoming, United States",wyoming_united_states
Madrid,Spain,"Madrid, Spain",madrid_spain
"New Brunswick, NJ",United States,"New Brunswick, NJ, United States",new_brunswick_nj_united_states
"Bloomington, IN",United States,"Bloomington, IN, United States",bloomington_in_united_states
Bridgetown,Barbados,"Bridgetown, Barbados",bridgetown_barbados
St. Michael,Barbados,"St. Michael, Barbados",st._michael_barbados
Leeds,England,"Leeds, England",leeds_england
Windsor,Canada,"Windsor, Canada",windsor_canada
St. Philip,Barbados,"St. Philip, Barbados",st._philip_barbados
Glasgow,Scotland,"Glasgow, Scotland",glasgow_scotland
Annandale-on-Hudson,United States,"Annandale-on-Hudson, United States",annandale_on_hudson_united_states
North Devon,England,"North Devon, England",north_devon_england
Port of Spain,Trinidad,"Port of Spain, Trinidad",port_of_spain_trinidad
Port-au- Prince,Haiti,"Port-au- Prince, Haiti",port_au__prince_haiti
"Woodstock, NY",United States,"Woodstock, NY, United States",woodstock_ny_united_states
"New York, NY",United States,"New York, NY, United States",new_york_ny_united_states
Tokyo,Japan,"Tokyo, Japan",tokyo_japan
"Miami, FL",United States,"Miami, FL, United States",miami_fl_united_states
Westminster,England,"Westminster, England",westminster_england
Berlin,Germany,"Berlin, Germany",berlin_germany
NA,NA,"NA , NA",na__na
Mexico City,Mexico,"Mexico City, Mexico",mexico_city_mexico
Caracas,Venezuala,"Caracas, Venezuala",caracas_venezuala
Málaga,Spain,"Málaga, Spain",málaga_spain
Saint-Nazaire,France,"Saint-Nazaire, France",saint_nazaire_france
Darmstadt,Germany,"Darmstadt, Germany",darmstadt_germany
Frankfurt,Germany,"Frankfurt, Germany",frankfurt_germany
Beograd,Serbia,"Beograd, Serbia",beograd_serbia
Bucuresti,Romania,"Bucuresti, Romania",bucuresti_romania
Helsinki,Finland,"Helsinki, Finland",helsinki_finland
