Date,Author,Item Title,Periodical Title,Language,Language 2,Location,Author Country 2,Publisher,Publisher City,Publisher Country,Genre,Number of Pages,Original Publication Date
1944,"Aarons, R.L.C.",The Cow That Laughed And Other Stories,,English,,United States,,Printed by Printers Ltd.,Kingston,Jamaica,Fiction (Short Story Collection),93,1944
1999,"Abad, Mercedes",Cuentos Eróticos De Navidad,,Spanish,,Spain,,Tusquets Editores S.A.,Barcelona,Spain,Short Story,206,2001
1966,"Abrahams, Peter",This Island Now,,English,,United States,,Faber & Faber,London,England,Fiction (Novel),264,1966
2021,"Acevedo, Elizabeth",With The Fire On High,,English,,United States,,Hot Key Books Ltd,Chichester,West Sussex,Fiction (Novel),13,2019
2020,"Adam, Claire",The Golden Child,,English,,Trinidad & Tobago,,Hogarth Press,Richmond,London,Fiction (Novel),289,2019
1997,"Adisa, Opal Palmer",It Begins With Tears,,English,,Jamaica,,Heinemann,Oxford,England,Fiction (Novel),239,1997
2016,"Agnant, Marie Célie",El Libre D'Emma,,Spanish,,Haiti,,Edicions Tres i Quatre,Valencia,Spain,Fiction (Novel),107,2014
2018,"Agnant, Marie-Célie",L'Oranger Magique,,French,,Haiti,,CareOf Publishing,Paris,France,Fiction (Novel),39,2003
2019,"Agnant, Marie-Célie",Un Petit Bonheur Tout Rond,,French,,Haiti,,Bouton d'or Acadie,Moncton,Canada,Fiction (Novel),36,2019
2021,"Agnant, Marie-Célie",Le Noël De Maïté,,French,,Haiti,,CareOf Publishing,Paris,France,Fiction (Novel),76,1999
2020,"Agnant, Marie-Célie",Silence Like Blood,,English,,Haiti,,"Massachusetts Review, Inc.",Amherst,United States,,,2020
1939,"Aguero, Jose de la Riva; Angell, James Rowland; Blackiston, A. Hooton; Brown, Elsie; Corbett, Margaret A; D'Emery, Charles; De Alba, Pedro; Erlanson, Carl O; James, Stephen; Kelbaugh, Paul R; Lenroot, Katharine F; Newhall, Beatrice; Rice, James E; Rowe, L. S; Samper Ortega, Daniel; Sanders, William; Smith, Robert C; Sylvain, Madeleine G; Te Velde, Johan C; Tercero, Jose; Walmsley, W. N; Weddell, Alexander Wilbourne; Wilgus, A. Curtis, Zier, Julian G;",Bulletin Of The Pan American Union. Volume LXXIII,,English,,Peru,United States,"Washington, DC","Washington, DC",United States,,,1939
1969,"Aguero, Luis; Alfonso, Domingo; Alonso, Dora; Arenas, Reinaldo; Barnet, Miguel; Fernandez, Pablo A. ; Rojo, Antonio Benitez; Buzzi, David; Carpentier, Alejo; Desnoes, Edmundo; Díaz, Jesús; Retamar, Roberto Fernández; Fuentes, Jose Lorenzo; Fuentes, Norberto; Guillén, Nicolás",Cronicas De Cuba,,Spanish,,Venezuela,Cuba,Editorial Jorge Álvarez,,,,248,1969
2005,"Alexander-Perez, Brenda",The Excursion,,English,,United States,,Brenda Alexander-Perez,Scarborough,Canada,Fiction (Novella),120,2005
2009,"Alexandre, Alfred; Armet, Auguste; Arsaye, Jean-Pierre; L'Etang, Gerry",Drive: L'errance Ensorcelée,,French,,Martinique,Martinique,HC Éditions,Paris,France,,,2009
1927,"Alix, Juan Antonio",Décimas : Tomo Lo,,Spanish,,Dominican Republic,,"Impr. de J.R. vda. García, sucesores",Santo Domingo,Dominican Republic,Poem,215,1927
1927,"Alix, Juan Antonio",Décimas,,Spanish,,Dominican Republic,,,Santo Domingo,Dominican Republic,Poem,215,1927
2021,"Allen-Agostini, Lisa",The Bread The Devil Knead,,English,,Trinidad & Tobago,,Myriad,Brighton,England,Fiction (Novel),256,2021
2019,"Allen-Agostini, Lisa; Mason, Jeanne",Trinidad Noir,,English,,Trinidad & Tobago,,Akashic Books,,,,,2019
2009,"Allende, Isabel",Island Beneath The Sea,,English,,Chile,,HarperCollins,New York,United States,Fiction (Novel),,2009
2010,"Allende, Isabel",Island Beneath The Sea,,English,,Chile,,HarperCollins,New York,United States,Fiction (Novel),464,2009
