city,country,Pub Location
Kingston,Jamaica,"Kingston, Jamaica"
Barcelona,Spain,"Barcelona, Spain"
London,England,"London, England"
Chichester,England,"Chichester, West Sussex, England"
Richmond,London,"Richmond, Londonland"
Oxford,England,"Oxford, England"
Valencia,Spain,"Valencia, Spain"
Paris,France,"Paris, France"
Moncton,Canada,"Moncton, Canada"
"Amherst, MA",United States,"Amherst, MA, United States"
"Washington, DC",United States,"Washington, DC, United States"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
Scarborough,Canada,"Scarborough, Canada"
Santo Domingo,Dominican Republic,"Santo Domingo, Dominican Republic"
Brighton,England,"Brighton, England"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Washington,United States,"Washington, United States"
Praha,Czech Republic,"Praha, Czech Republic"
Trafalgar,Dominica,"Trafalgar, Dominica"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Pompano Beach,United States,"Pompano Beach, United States"
Chapel Hill,United States,"Chapel Hill, United States"
"New York, NY",Canada,"New York, NY, Canada"
"Cameron, NC",United States,"Cameron, NC, United States"
Madrid,Spain,"Madrid, Spain"
"New Brunswick, NJ",United States,"New Brunswick, NJ, United States"
"Bloomington, IN",United States,"Bloomington, IN, United States"
Bridgetown,Barbados,"Bridgetown, Barbados"
St. Michael,Barbados,"St. Michael, Barbados"
Leeds,England,"Leeds, England"
Windsor,Canada,"Windsor, Canada"
Glasgow,Scotland,"Glasgow, Scotland"
Annandale-on-Hudson,United States,"Annandale-on-Hudson, United States"
North Devon,England,"North Devon, England"
"New York, NY",United States,"New York, NY, United States"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
Port-au- Prince,Haiti,"Port-au- Prince, Haiti"
"Woodstock, NY",United States,"Woodstock, NY, United States"
Tokyo,Japan,"Tokyo, Japan"
"Miami, FL",United States,"Miami, FL, United States"
Westminster,England,"Westminster, England"
Berlin,Germany,"Berlin, Germany"
NA,NA,"NA, NA"
Mexico City,Mexico,"Mexico City, Mexico"
Caracas,Venezuela,"Caracas, Venezuela"
Málaga,Spain,"Málaga, Spain"
Saint-Nazaire,France,"Saint-Nazaire, France"
Darmstadt,Germany,"Darmstadt, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Beograd,Serbia,"Beograd, Serbia"
Bucuresti,Romania,"Bucuresti, Romania"
Helsinki,Finland,"Helsinki, Finland"
Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil"
