Author,author_id,author_country
Roberto Fernández Retamar,rretamar,cuba
Phyllis Shand Allfrey,psallfrey,dominica
Michael Anthony,manthony,trinidad_&_tobago
Claude McKay,cmckay,jamaica
Paule Marshall,pmarshall,barbados
George Lamming ,glamming ,barbados
 Reinaldo Arenas,rarenas,Cuba
Robert Antoni,rantoni,trinidad_&_tobago
Louise Bennett,lbennet,jamaica
Jacques Roumain,jroumain,haiti
Roger Mais,rmais,jamaica
Samuel Selvon,sselvon,trinidad_&_tobago
Jamaica Kincaid,jkincaid,antigua_&_barbuda
Simone Schwarz-Bart,ssbart,guadeloupe
Jan J Dominique,jjdominique,haiti
Una Marson ,umarson ,jamaica
Jean Casimir,jcasimir,haiti
V.S. Naipaul,vsnaipaul,trinidad_&_tobago
Jean Rhys,jrhys,dominica
Velma Pollard,vpollard,jamaica
 Jose Martí,jmartí,cuba
Julia Alvarez,jalvarez,united_states
Karen Lord,klord,barbados
 Alejo Carpenter,acarpenter,cuba
 Aimé Césaire,acésaire,martinique
Andrew Salkey,asalkey,jamaica
Austin Clarke,aclarke,barbados
 Erna Brodber,ebodber,jamaica
 Frank A. Collymore,facollymore,barbados
Kei Miller,kmiller,jamaica
Lawrence Scott,lscott,trinidad_& tobago
Lisa Allen-Agostini,laagostini,trinidad_&_tobago
Marie Vieux-Chauvet,mvchauvet,haiti
Michelle Cliff,mcliff,jamaica
Nicolás Guillén,ngullien,cuba
 Myriam J. A Chancy  ,mjachancy,haiti
Olive Senior,osenior,jamaica
Oonya Kempadoo,okempadoo,guyana
Opal Palmer Adisa,opalmeradisa,jamaica
Pamela Mordecai,pmordecai,jamaica
Walter Roberts,wroberts,jamaica
Wilson Harris,wharris,guyana
Frankétienne,franketienne,haiti
Zee Edgell,zedgell,belize
Évelyne Trouillot,etrouillot,haiti
Jean Bernabé,jbernabe,martinique
